text,intent,valence,arousal,lang
me siento nervioso porfa. 💜,check_in_mood,negative,high,es
"thanks, bye... 😔",thanks_goodbye,positive,low,en
i'll come back later rn... 🌿,thanks_goodbye,positive,low,en
spanish mode pls... 😟,language_switch,neutral,low,en
¿podemos hablar? porfa!!,greeting_start,neutral,medium,es
ayúdame a reflexionar pls... 😤,journal_prompt,neutral,low,es
una consigna para escribir porfa,journal_prompt,neutral,low,es
quiero escribir sobre esto por favor... ✨,journal_prompt,neutral,low,es
inglés por favor porfa. 😔,language_switch,neutral,low,es
kill myself rn!! 🌿,crisis_emergency,negative,high,en
give me a writing prompt!! 💜,journal_prompt,neutral,low,en
necesito algo positivo porfa... 😥,affirmation_request,neutral,low,es
hmm rn! 🌿,fallback_clarify,neutral,low,en
support me reflect tbh. 🙏 / una consigna para escribir,journal_prompt,neutral,low,en
i feel nervous tbh!! 😟,check_in_mood,negative,high,en
i want to write about this please! 💜,journal_prompt,neutral,low,en
🤔 pls,fallback_clarify,neutral,low,es
i feel anxious! 🌿 / estoy enojado,check_in_mood,negative,high,en
eso es todo por ahora,thanks_goodbye,positive,low,es
¿qué opciones de ayuda hay? por favor. 💜,info_help,neutral,low,es
information about support... ✨,info_help,neutral,low,en
i'm panicky please... 🌿,check_in_mood,negative,high,en
me siento triste! 😟,check_in_mood,negative,high,es
dame una frase positiva por favor... ✨,affirmation_request,neutral,low,es
i need something positive!!,affirmation_request,neutral,low,en
ayúdame a respirar ahora!! 😟,breathing_exercise,neutral,medium,es
journal prompt please tbh! 😥,journal_prompt,neutral,low,en
un ejercicio de respiración por favor 😤,breathing_exercise,neutral,medium,es
need to feel present please! 😟,grounding_exercise,negative,medium,en
i want to die...,crisis_emergency,negative,high,en
what resources can assist? rn. 💜,info_help,neutral,low,en
can you support me breathe? please! 💜 / ayúdame a respirar,breathing_exercise,neutral,medium,en
¿qué? porfa... 😤 / ???,fallback_clarify,neutral,low,es
can you assist me breathe? please... 😤,breathing_exercise,neutral,medium,en
¿qué pasa en mi cerebro? porfa 🙏,self_assess,neutral,medium,es
inglés por favor ahora. 🌿,language_switch,neutral,low,es
assist me anchor pls!! ✨,grounding_exercise,negative,medium,en
dame una frase positiva pls ✨,affirmation_request,neutral,low,es
i want to die rn. 😔,crisis_emergency,negative,high,en
say something encouraging rn. 😤,affirmation_request,neutral,low,en
me estoy desconectando 🙏 / i’m dissociating,grounding_exercise,negative,medium,es
estoy en peligro ahora! 😟,crisis_emergency,negative,high,es
eso es todo por ahora porfa... 😤,thanks_goodbye,positive,low,es
información de apoyo ahora... 😤,info_help,neutral,low,es
me siento ansioso por favor... 😔,check_in_mood,negative,high,es
non-emergency support options pls!! 💜,info_help,neutral,low,en
voy a lastimarme pls. 😥,crisis_emergency,negative,high,es
¿con quién puedo charlar? por favor 💜,info_help,neutral,low,es
that’s all for now... 😔 / vuelvo luego,thanks_goodbye,positive,low,en
i will hurt myself please.,crisis_emergency,negative,high,en
give me a writing prompt rn...,journal_prompt,neutral,low,en
idk rn 🙏,fallback_clarify,neutral,low,en
what please... 😟,fallback_clarify,neutral,low,en
information about support rn 🙏,info_help,neutral,low,en
quiero escribir sobre esto... 😥 / help me reflect,journal_prompt,neutral,low,es
english please pls... 😥,language_switch,neutral,low,en
vuelvo luego por favor 🙏,thanks_goodbye,positive,low,es
ayúdame a reflexionar ahora. 😔,journal_prompt,neutral,low,es
"thanks, bye rn!! 😤",thanks_goodbye,positive,low,en
is anyone there? tbh. ✨,greeting_start,neutral,medium,en
necesito algo positivo porfa 😟,affirmation_request,neutral,low,es
¿con quién puedo hablar? pls! 😥,info_help,neutral,low,es
is this normal? please 😤,self_assess,neutral,medium,en
quiero una frase de apoyo por favor... 😥,affirmation_request,neutral,low,es
is anyone there? please. 🙏,greeting_start,neutral,medium,en
necesito calmarme con respirar por favor 😥,breathing_exercise,neutral,medium,es
¿cómo funcionan el estrés y las emociones? porfa. ✨,self_assess,neutral,medium,es
quiero sentirme presente ahora. ✨,grounding_exercise,negative,medium,es
hola 😟,greeting_start,neutral,medium,es
i need something positive pls... 😟,affirmation_request,neutral,low,en
support me steady pls!! 😥,grounding_exercise,negative,medium,en
quiero sentirme presente por favor. 🙏,grounding_exercise,negative,medium,es
información de apoyo 🌿,info_help,neutral,low,es
"gracias, adiós porfa! 💜",thanks_goodbye,positive,low,es
give me a writing prompt rn!! 💜,journal_prompt,neutral,low,en
journal prompt please please... 🌿 / ayúdame a reflexionar,journal_prompt,neutral,low,en
¿hay alguien? ahora 😥,greeting_start,neutral,medium,es
ayúdame a reflexionar pls 💜,journal_prompt,neutral,low,es
¿cómo funcionan el estrés y las emociones? pls 😥,self_assess,neutral,medium,es
who can i chat to nearby? please.,info_help,neutral,low,en
hi please... 💜 / necesito chatear,greeting_start,neutral,medium,en
i need to chat tbh!! 😤 / necesito chatear,greeting_start,neutral,medium,en
¿qué pasa en mi cerebro? ahora!! 🙏,self_assess,neutral,medium,es
spanish please. 😥,language_switch,neutral,low,en
"gracias, adiós porfa!! ✨",thanks_goodbye,positive,low,es
spanish please pls!! 😟,language_switch,neutral,low,en
hablemos en español porfa... ✨,language_switch,neutral,low,es
mmm... por favor. 😟,fallback_clarify,neutral,low,es
podría tener una sobredosis porfa... 🙏,crisis_emergency,negative,high,es
un ejercicio de respirar por favor...,breathing_exercise,neutral,medium,es
información de apoyo ahora. 💜,info_help,neutral,low,es
hola ahora!! 😤,greeting_start,neutral,medium,es
i want to write about this tbh... 😥,journal_prompt,neutral,low,en
"gracias, adiós por favor! ✨",thanks_goodbye,positive,low,es
estoy molesto por favor... 😥,check_in_mood,negative,high,es
