text,intent,valence,arousal,lang
🤔 please!! 😟,fallback_clarify,neutral,low,en
i'm angry tbh. 🙏,check_in_mood,negative,high,en
what’s happening in my brain?. 💜,self_assess,neutral,medium,en
why am i feeling this way? please...,self_assess,neutral,medium,en
journal prompt please pls! ✨,journal_prompt,neutral,low,en
journal prompt please tbh... 😟,journal_prompt,neutral,low,en
need reassurance tbh 🙏,affirmation_request,neutral,low,en
i will hurt myself rn!! 🌿,crisis_emergency,negative,high,en
give me a writing prompt rn!! 😟,journal_prompt,neutral,low,en
what’s happening in my brain? rn!! 🌿,self_assess,neutral,medium,en
is this normal? rn. 😤,self_assess,neutral,medium,en
non-emergency support options tbh ✨,info_help,neutral,low,en
"this supported, goodnight pls 😟",thanks_goodbye,positive,low,en
that’s all for now pls! ✨,thanks_goodbye,positive,low,en
how do stress and emotions work? tbh! 😔,self_assess,neutral,medium,en
i need a calm breathing routine rn! 🙏,breathing_exercise,neutral,medium,en
i feel on edge tbh! 🌿,check_in_mood,negative,high,en
how do stress and emotions work? rn... 😥 / ¿cómo funcionan el estrés y las emociones?,self_assess,neutral,medium,en
i might overdose rn 🙏 / voy a lastimarme,crisis_emergency,negative,high,en
information about support rn.,info_help,neutral,low,en
what’s happening in my brain? pls...,self_assess,neutral,medium,en
why am i feeling this way? please. 🌿 / ¿esto es normal?,self_assess,neutral,medium,en
"this helped, goodnight pls!! 😟",thanks_goodbye,positive,low,en
give me an encouraging words pls! 😟,affirmation_request,neutral,low,en
i need to chat pls!! 😔,greeting_start,neutral,medium,en
hi pls 😔 / necesito chatear,greeting_start,neutral,medium,en
??? tbh!! 😤,fallback_clarify,neutral,low,en
i’m dissociating rn!! 🌿,grounding_exercise,negative,medium,en
hmm please 😔 / ¿qué?,fallback_clarify,neutral,low,en
who can i talk to nearby?! 😥,info_help,neutral,low,en
breathing exercise please tbh... 😟,breathing_exercise,neutral,medium,en
breathing exercise please please... 😔,breathing_exercise,neutral,medium,en
can you assist me breathe? tbh ✨ / ayúdame a respirar,breathing_exercise,neutral,medium,en
kill myself rn!! 😥,crisis_emergency,negative,high,en
